category,title,description,upvotes,has_images,hour,area,priority
pothole,Pothole issue in Whitefield,damaged road near metro station. This is happening in Whitefield near the landmark.,47,0,11,Whitefield,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,43,1,3,Koramangala,high
pothole,Pothole issue in Indiranagar,vehicle damage due to deep gunda on outer ring road. This is happening in Indiranagar near the landmark.,50,1,13,Indiranagar,high
pothole,Pothole issue in HSR Layout,damaged road near metro station. This is happening in HSR Layout near the landmark.,4,0,6,HSR Layout,medium
pothole,Pothole issue in Malleshwaram,vehicle damage due to deep gunda on outer ring road. This is happening in Malleshwaram near the landmark.,19,1,15,Malleshwaram,high
pothole,Pothole issue in Malleshwaram,huge pothole on road. This is happening in Malleshwaram near the landmark.,35,1,15,Malleshwaram,high
pothole,Pothole issue in Jayanagar,vehicle damage due to deep gunda on outer ring road. This is happening in Jayanagar near the landmark.,14,1,14,Jayanagar,high
pothole,Pothole issue in Koramangala,"road condition is very bad, gunda blocking traffic. This is happening in Koramangala near the landmark.",47,0,21,Koramangala,high
pothole,Pothole issue in HSR Layout,gunda on main road. This is happening in HSR Layout near the landmark.,39,1,17,HSR Layout,high
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,1,0,1,Whitefield,medium
pothole,Pothole issue in Jayanagar,huge pothole on road. This is happening in Jayanagar near the landmark.,23,1,23,Jayanagar,high
pothole,Pothole issue in HSR Layout,huge pothole on road. This is happening in HSR Layout near the landmark.,16,1,23,HSR Layout,high
pothole,Pothole issue in Indiranagar,dangerous crater on silk board flyover. This is happening in Indiranagar near the landmark.,36,1,5,Indiranagar,high
pothole,Pothole issue in Indiranagar,deep hole in middle of street. This is happening in Indiranagar near the landmark.,16,0,10,Indiranagar,high
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,35,0,21,Whitefield,high
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,9,0,0,Whitefield,medium
pothole,Pothole issue in Whitefield,deep hole in middle of street. This is happening in Whitefield near the landmark.,11,0,19,Whitefield,high
pothole,Pothole issue in Koramangala,deep hole in middle of street. This is happening in Koramangala near the landmark.,14,1,9,Koramangala,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,48,1,0,Koramangala,high
pothole,Pothole issue in Indiranagar,potholes everywhere on this stretch. This is happening in Indiranagar near the landmark.,16,0,1,Indiranagar,high
pothole,Pothole issue in MG Road,many potholes after rain. This is happening in MG Road near the landmark.,24,1,14,MG Road,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,2,0,23,Koramangala,medium
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,27,1,19,Koramangala,high
pothole,Pothole issue in Koramangala,gunda on main road. This is happening in Koramangala near the landmark.,22,1,3,Koramangala,high
pothole,Pothole issue in Indiranagar,deep hole in middle of street. This is happening in Indiranagar near the landmark.,6,0,13,Indiranagar,medium
pothole,Pothole issue in Koramangala,gunda on main road. This is happening in Koramangala near the landmark.,32,0,3,Koramangala,high
pothole,Pothole issue in Jayanagar,deep hole in middle of street. This is happening in Jayanagar near the landmark.,12,0,5,Jayanagar,high
pothole,Pothole issue in Indiranagar,huge pothole on road. This is happening in Indiranagar near the landmark.,21,0,18,Indiranagar,high
pothole,Pothole issue in Whitefield,huge pothole on road. This is happening in Whitefield near the landmark.,1,0,22,Whitefield,medium
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,29,0,8,Koramangala,high
pothole,Pothole issue in HSR Layout,"road condition is very bad, gunda blocking traffic. This is happening in HSR Layout near the landmark.",33,0,6,HSR Layout,high
pothole,Pothole issue in HSR Layout,gunda on main road. This is happening in HSR Layout near the landmark.,15,1,7,HSR Layout,high
pothole,Pothole issue in Indiranagar,huge pothole on road. This is happening in Indiranagar near the landmark.,11,1,22,Indiranagar,high
pothole,Pothole issue in HSR Layout,"road condition is very bad, gunda blocking traffic. This is happening in HSR Layout near the landmark.",40,1,4,HSR Layout,high
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,11,0,10,Koramangala,high
pothole,Pothole issue in Jayanagar,many potholes after rain. This is happening in Jayanagar near the landmark.,5,0,11,Jayanagar,medium
pothole,Pothole issue in HSR Layout,many potholes after rain. This is happening in HSR Layout near the landmark.,48,0,3,HSR Layout,high
pothole,Pothole issue in MG Road,gunda on main road. This is happening in MG Road near the landmark.,11,0,13,MG Road,high
pothole,Pothole issue in Whitefield,huge pothole on road. This is happening in Whitefield near the landmark.,24,0,22,Whitefield,high
pothole,Pothole issue in Malleshwaram,damaged road near metro station. This is happening in Malleshwaram near the landmark.,44,0,9,Malleshwaram,high
pothole,Pothole issue in MG Road,many potholes after rain. This is happening in MG Road near the landmark.,9,1,12,MG Road,medium
pothole,Pothole issue in Koramangala,cracked pavement making it hard to drive. This is happening in Koramangala near the landmark.,12,0,0,Koramangala,high
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,20,1,11,Whitefield,high
pothole,Pothole issue in MG Road,dangerous crater on silk board flyover. This is happening in MG Road near the landmark.,45,1,6,MG Road,high
pothole,Pothole issue in Indiranagar,huge pothole on road. This is happening in Indiranagar near the landmark.,50,1,11,Indiranagar,high
pothole,Pothole issue in Indiranagar,damaged road near metro station. This is happening in Indiranagar near the landmark.,8,0,21,Indiranagar,medium
pothole,Pothole issue in Whitefield,damaged road near metro station. This is happening in Whitefield near the landmark.,18,1,5,Whitefield,high
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,46,0,22,Whitefield,high
pothole,Pothole issue in Indiranagar,"road condition is very bad, gunda blocking traffic. This is happening in Indiranagar near the landmark.",49,1,12,Indiranagar,high
pothole,Pothole issue in Koramangala,"road condition is very bad, gunda blocking traffic. This is happening in Koramangala near the landmark.",34,1,0,Koramangala,high
pothole,Pothole issue in Whitefield,dangerous crater on silk board flyover. This is happening in Whitefield near the landmark.,3,0,22,Whitefield,medium
pothole,Pothole issue in Whitefield,gunda on main road. This is happening in Whitefield near the landmark.,30,0,5,Whitefield,high
pothole,Pothole issue in Whitefield,gunda on main road. This is happening in Whitefield near the landmark.,24,1,11,Whitefield,high
pothole,Pothole issue in Jayanagar,dangerous crater on silk board flyover. This is happening in Jayanagar near the landmark.,10,0,19,Jayanagar,medium
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,17,0,11,Whitefield,high
pothole,Pothole issue in Indiranagar,deep hole in middle of street. This is happening in Indiranagar near the landmark.,23,1,21,Indiranagar,high
pothole,Pothole issue in Malleshwaram,potholes everywhere on this stretch. This is happening in Malleshwaram near the landmark.,12,0,11,Malleshwaram,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,14,1,12,Koramangala,high
pothole,Pothole issue in Whitefield,damaged road near metro station. This is happening in Whitefield near the landmark.,25,0,14,Whitefield,high
pothole,Pothole issue in Jayanagar,"road condition is very bad, gunda blocking traffic. This is happening in Jayanagar near the landmark.",34,1,23,Jayanagar,high
pothole,Pothole issue in Whitefield,cracked pavement making it hard to drive. This is happening in Whitefield near the landmark.,22,0,2,Whitefield,high
pothole,Pothole issue in HSR Layout,potholes everywhere on this stretch. This is happening in HSR Layout near the landmark.,11,1,14,HSR Layout,high
pothole,Pothole issue in Indiranagar,deep hole in middle of street. This is happening in Indiranagar near the landmark.,3,0,10,Indiranagar,medium
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,49,0,15,Whitefield,high
pothole,Pothole issue in Koramangala,"road condition is very bad, gunda blocking traffic. This is happening in Koramangala near the landmark.",11,0,11,Koramangala,high
pothole,Pothole issue in Koramangala,gunda on main road. This is happening in Koramangala near the landmark.,12,1,4,Koramangala,high
pothole,Pothole issue in Indiranagar,"road condition is very bad, gunda blocking traffic. This is happening in Indiranagar near the landmark.",15,0,23,Indiranagar,high
pothole,Pothole issue in Jayanagar,deep hole in middle of street. This is happening in Jayanagar near the landmark.,28,0,9,Jayanagar,high
pothole,Pothole issue in Indiranagar,dangerous crater on silk board flyover. This is happening in Indiranagar near the landmark.,19,1,8,Indiranagar,high
pothole,Pothole issue in Jayanagar,gunda on main road. This is happening in Jayanagar near the landmark.,40,1,21,Jayanagar,high
pothole,Pothole issue in HSR Layout,huge pothole on road. This is happening in HSR Layout near the landmark.,38,1,7,HSR Layout,high
pothole,Pothole issue in Jayanagar,gunda on main road. This is happening in Jayanagar near the landmark.,7,0,16,Jayanagar,medium
pothole,Pothole issue in Whitefield,huge pothole on road. This is happening in Whitefield near the landmark.,18,1,22,Whitefield,high
pothole,Pothole issue in MG Road,vehicle damage due to deep gunda on outer ring road. This is happening in MG Road near the landmark.,18,0,14,MG Road,high
pothole,Pothole issue in Whitefield,deep hole in middle of street. This is happening in Whitefield near the landmark.,5,0,1,Whitefield,medium
pothole,Pothole issue in MG Road,huge pothole on road. This is happening in MG Road near the landmark.,9,1,14,MG Road,medium
pothole,Pothole issue in Indiranagar,potholes everywhere on this stretch. This is happening in Indiranagar near the landmark.,33,0,23,Indiranagar,high
pothole,Pothole issue in HSR Layout,huge pothole on road. This is happening in HSR Layout near the landmark.,16,0,10,HSR Layout,high
pothole,Pothole issue in HSR Layout,dangerous crater on silk board flyover. This is happening in HSR Layout near the landmark.,10,1,10,HSR Layout,medium
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,10,1,4,Whitefield,medium
pothole,Pothole issue in Indiranagar,cracked pavement making it hard to drive. This is happening in Indiranagar near the landmark.,9,0,4,Indiranagar,medium
pothole,Pothole issue in HSR Layout,damaged road near metro station. This is happening in HSR Layout near the landmark.,23,1,5,HSR Layout,high
pothole,Pothole issue in MG Road,potholes everywhere on this stretch. This is happening in MG Road near the landmark.,8,1,12,MG Road,medium
pothole,Pothole issue in HSR Layout,cracked pavement making it hard to drive. This is happening in HSR Layout near the landmark.,44,1,4,HSR Layout,high
pothole,Pothole issue in Malleshwaram,dangerous crater on silk board flyover. This is happening in Malleshwaram near the landmark.,35,0,16,Malleshwaram,high
pothole,Pothole issue in Indiranagar,damaged road near metro station. This is happening in Indiranagar near the landmark.,4,0,23,Indiranagar,medium
pothole,Pothole issue in HSR Layout,vehicle damage due to deep gunda on outer ring road. This is happening in HSR Layout near the landmark.,27,1,6,HSR Layout,high
pothole,Pothole issue in MG Road,vehicle damage due to deep gunda on outer ring road. This is happening in MG Road near the landmark.,40,1,11,MG Road,high
pothole,Pothole issue in Whitefield,vehicle damage due to deep gunda on outer ring road. This is happening in Whitefield near the landmark.,7,1,0,Whitefield,medium
pothole,Pothole issue in MG Road,cracked pavement making it hard to drive. This is happening in MG Road near the landmark.,29,1,2,MG Road,high
pothole,Pothole issue in Indiranagar,many potholes after rain. This is happening in Indiranagar near the landmark.,6,1,17,Indiranagar,medium
pothole,Pothole issue in Koramangala,cracked pavement making it hard to drive. This is happening in Koramangala near the landmark.,48,0,1,Koramangala,high
pothole,Pothole issue in MG Road,"road condition is very bad, gunda blocking traffic. This is happening in MG Road near the landmark.",14,0,19,MG Road,high
pothole,Pothole issue in Koramangala,potholes everywhere on this stretch. This is happening in Koramangala near the landmark.,48,1,19,Koramangala,high
pothole,Pothole issue in Whitefield,huge pothole on road. This is happening in Whitefield near the landmark.,0,1,3,Whitefield,medium
pothole,Pothole issue in Whitefield,vehicle damage due to deep gunda on outer ring road. This is happening in Whitefield near the landmark.,41,1,22,Whitefield,high
pothole,Pothole issue in Indiranagar,many potholes after rain. This is happening in Indiranagar near the landmark.,13,0,19,Indiranagar,high
pothole,Pothole issue in Jayanagar,gunda on main road. This is happening in Jayanagar near the landmark.,4,1,3,Jayanagar,medium
pothole,Pothole issue in Koramangala,potholes everywhere on this stretch. This is happening in Koramangala near the landmark.,36,0,8,Koramangala,high
pothole,Pothole issue in Whitefield,"road condition is very bad, gunda blocking traffic. This is happening in Whitefield near the landmark.",42,1,20,Whitefield,high
pothole,Pothole issue in MG Road,damaged road near metro station. This is happening in MG Road near the landmark.,48,1,15,MG Road,high
pothole,Pothole issue in Jayanagar,many potholes after rain. This is happening in Jayanagar near the landmark.,34,0,9,Jayanagar,high
pothole,Pothole issue in Indiranagar,gunda on main road. This is happening in Indiranagar near the landmark.,47,1,2,Indiranagar,high
pothole,Pothole issue in MG Road,huge pothole on road. This is happening in MG Road near the landmark.,1,0,15,MG Road,medium
pothole,Pothole issue in Jayanagar,cracked pavement making it hard to drive. This is happening in Jayanagar near the landmark.,40,1,22,Jayanagar,high
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,37,0,6,Whitefield,high
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,40,0,20,Whitefield,high
pothole,Pothole issue in Indiranagar,potholes everywhere on this stretch. This is happening in Indiranagar near the landmark.,25,1,13,Indiranagar,high
pothole,Pothole issue in HSR Layout,deep hole in middle of street. This is happening in HSR Layout near the landmark.,25,1,5,HSR Layout,high
pothole,Pothole issue in Malleshwaram,dangerous crater on silk board flyover. This is happening in Malleshwaram near the landmark.,36,0,22,Malleshwaram,high
pothole,Pothole issue in Jayanagar,deep hole in middle of street. This is happening in Jayanagar near the landmark.,13,0,8,Jayanagar,high
pothole,Pothole issue in MG Road,gunda on main road. This is happening in MG Road near the landmark.,12,0,22,MG Road,high
pothole,Pothole issue in Jayanagar,gunda on main road. This is happening in Jayanagar near the landmark.,4,0,21,Jayanagar,medium
pothole,Pothole issue in Koramangala,cracked pavement making it hard to drive. This is happening in Koramangala near the landmark.,2,1,8,Koramangala,medium
pothole,Pothole issue in Indiranagar,potholes everywhere on this stretch. This is happening in Indiranagar near the landmark.,39,0,22,Indiranagar,high
pothole,Pothole issue in Jayanagar,vehicle damage due to deep gunda on outer ring road. This is happening in Jayanagar near the landmark.,48,0,7,Jayanagar,high
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,21,1,15,Koramangala,high
pothole,Pothole issue in Jayanagar,cracked pavement making it hard to drive. This is happening in Jayanagar near the landmark.,43,0,12,Jayanagar,high
pothole,Pothole issue in Koramangala,dangerous crater on silk board flyover. This is happening in Koramangala near the landmark.,17,0,23,Koramangala,high
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,31,1,23,Koramangala,high
pothole,Pothole issue in MG Road,huge pothole on road. This is happening in MG Road near the landmark.,13,1,10,MG Road,high
pothole,Pothole issue in MG Road,many potholes after rain. This is happening in MG Road near the landmark.,3,1,13,MG Road,medium
pothole,Pothole issue in Indiranagar,deep hole in middle of street. This is happening in Indiranagar near the landmark.,19,0,7,Indiranagar,high
pothole,Pothole issue in Jayanagar,many potholes after rain. This is happening in Jayanagar near the landmark.,10,1,14,Jayanagar,medium
pothole,Pothole issue in Malleshwaram,vehicle damage due to deep gunda on outer ring road. This is happening in Malleshwaram near the landmark.,12,1,1,Malleshwaram,high
pothole,Pothole issue in MG Road,"road condition is very bad, gunda blocking traffic. This is happening in MG Road near the landmark.",30,1,19,MG Road,high
pothole,Pothole issue in Jayanagar,cracked pavement making it hard to drive. This is happening in Jayanagar near the landmark.,31,1,19,Jayanagar,high
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,6,1,8,Koramangala,medium
pothole,Pothole issue in Indiranagar,cracked pavement making it hard to drive. This is happening in Indiranagar near the landmark.,31,1,3,Indiranagar,high
pothole,Pothole issue in Malleshwaram,damaged road near metro station. This is happening in Malleshwaram near the landmark.,23,1,21,Malleshwaram,high
pothole,Pothole issue in HSR Layout,deep hole in middle of street. This is happening in HSR Layout near the landmark.,14,1,21,HSR Layout,high
pothole,Pothole issue in Koramangala,dangerous crater on silk board flyover. This is happening in Koramangala near the landmark.,47,0,23,Koramangala,high
pothole,Pothole issue in Malleshwaram,damaged road near metro station. This is happening in Malleshwaram near the landmark.,36,0,20,Malleshwaram,high
pothole,Pothole issue in Indiranagar,vehicle damage due to deep gunda on outer ring road. This is happening in Indiranagar near the landmark.,2,1,18,Indiranagar,medium
pothole,Pothole issue in Malleshwaram,dangerous crater on silk board flyover. This is happening in Malleshwaram near the landmark.,20,0,11,Malleshwaram,high
pothole,Pothole issue in Whitefield,vehicle damage due to deep gunda on outer ring road. This is happening in Whitefield near the landmark.,31,0,14,Whitefield,high
pothole,Pothole issue in Koramangala,damaged road near metro station. This is happening in Koramangala near the landmark.,16,1,14,Koramangala,high
pothole,Pothole issue in Indiranagar,potholes everywhere on this stretch. This is happening in Indiranagar near the landmark.,19,0,3,Indiranagar,high
pothole,Pothole issue in Malleshwaram,vehicle damage due to deep gunda on outer ring road. This is happening in Malleshwaram near the landmark.,29,0,18,Malleshwaram,high
pothole,Pothole issue in MG Road,gunda on main road. This is happening in MG Road near the landmark.,23,0,9,MG Road,high
pothole,Pothole issue in Indiranagar,"road condition is very bad, gunda blocking traffic. This is happening in Indiranagar near the landmark.",31,0,9,Indiranagar,high
pothole,Pothole issue in Indiranagar,damaged road near metro station. This is happening in Indiranagar near the landmark.,26,1,16,Indiranagar,high
pothole,Pothole issue in MG Road,gunda on main road. This is happening in MG Road near the landmark.,22,0,14,MG Road,high
pothole,Pothole issue in Koramangala,cracked pavement making it hard to drive. This is happening in Koramangala near the landmark.,2,0,3,Koramangala,medium
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,11,0,6,Whitefield,high
pothole,Pothole issue in Koramangala,cracked pavement making it hard to drive. This is happening in Koramangala near the landmark.,0,1,21,Koramangala,medium
pothole,Pothole issue in Jayanagar,potholes everywhere on this stretch. This is happening in Jayanagar near the landmark.,47,0,8,Jayanagar,high
pothole,Pothole issue in Koramangala,"road condition is very bad, gunda blocking traffic. This is happening in Koramangala near the landmark.",22,1,15,Koramangala,high
pothole,Pothole issue in Malleshwaram,huge pothole on road. This is happening in Malleshwaram near the landmark.,42,1,15,Malleshwaram,high
pothole,Pothole issue in Jayanagar,potholes everywhere on this stretch. This is happening in Jayanagar near the landmark.,10,0,10,Jayanagar,medium
pothole,Pothole issue in Koramangala,"road condition is very bad, gunda blocking traffic. This is happening in Koramangala near the landmark.",20,1,23,Koramangala,high
pothole,Pothole issue in Whitefield,potholes everywhere on this stretch. This is happening in Whitefield near the landmark.,12,0,22,Whitefield,high
pothole,Pothole issue in Malleshwaram,"road condition is very bad, gunda blocking traffic. This is happening in Malleshwaram near the landmark.",27,1,9,Malleshwaram,high
pothole,Pothole issue in MG Road,potholes everywhere on this stretch. This is happening in MG Road near the landmark.,9,1,4,MG Road,medium
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,7,1,16,Whitefield,medium
pothole,Pothole issue in Malleshwaram,damaged road near metro station. This is happening in Malleshwaram near the landmark.,30,0,8,Malleshwaram,high
pothole,Pothole issue in Indiranagar,potholes everywhere on this stretch. This is happening in Indiranagar near the landmark.,43,0,0,Indiranagar,high
pothole,Pothole issue in Koramangala,deep hole in middle of street. This is happening in Koramangala near the landmark.,27,1,4,Koramangala,high
pothole,Pothole issue in HSR Layout,cracked pavement making it hard to drive. This is happening in HSR Layout near the landmark.,12,1,17,HSR Layout,high
pothole,Pothole issue in HSR Layout,dangerous crater on silk board flyover. This is happening in HSR Layout near the landmark.,20,1,15,HSR Layout,high
pothole,Pothole issue in Malleshwaram,many potholes after rain. This is happening in Malleshwaram near the landmark.,27,0,20,Malleshwaram,high
pothole,Pothole issue in Malleshwaram,vehicle damage due to deep gunda on outer ring road. This is happening in Malleshwaram near the landmark.,24,1,0,Malleshwaram,high
